Statistic Label,Age Group,Level of Effectiveness,Year,UNIT,TOTAL
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,18 - 29 years,Very effective,2019,%,14
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,18 - 29 years,Quite effective,2019,%,51
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,18 - 29 years,Not very effective,2019,%,23
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,18 - 29 years,Not effective at all,2019,%,13
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,30 - 44 years,Very effective,2019,%,18
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,30 - 44 years,Quite effective,2019,%,50
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,30 - 44 years,Not very effective,2019,%,21
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,30 - 44 years,Not effective at all,2019,%,11
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,45 - 59 years,Very effective,2019,%,17
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,45 - 59 years,Quite effective,2019,%,52
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,45 - 59 years,Not very effective,2019,%,22
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,45 - 59 years,Not effective at all,2019,%,9
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,60 years and over,Very effective,2019,%,20
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,60 years and over,Quite effective,2019,%,52
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,60 years and over,Not very effective,2019,%,20
How effective persons feel Gardai have been at tackling crime in their local area over the last 12 months,60 years and over,Not effective at all,2019,%,8
